GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_7,*N(CCNC(C)C)*,*CCCCC(N*)C(=O)*,92,5,0,3,-0.132 ,NO
GPSub_4,*N(C)CC(C)N,*CC(=O)O,38,82,44,27,-0.102 ,YES
GPSub_4,*N(C)CC(C)N,CC(C)N(C)C*,455,46,9,159,-0.142 ,NO
GPSub_4,*N(C)CC(C)N,*CCNC(C)C,964,185,68,522,-0.188 ,NO
GPSub_4,*N(C)CC(C)N,*CCCNC(C)C,445,102,41,279,-0.089 ,NO
GPSub_4,*N(C)CC(C)N,*CCCCNC(C)C,312,95,31,200,-0.129 ,NO
GPSub_4,*N(C)CC(C)N,*NCC(=O)O,92,11,9,10,-0.148 ,NO
GPSub_4,*N(C)CC(C)N,*C(=O)C4CCCN4*,60,2,0,14,-0.156 ,NO
GPSub_4,*N(C)CC(C)N,*C(C(=O)NC(C)C)*,311,80,25,234,-0.087 ,NO
GPSub_4,*N(C)CC(C)N,CCCCCN(CC*)*,569,24,60,157,-0.026 ,NO
GPSub_4,*N(C)CC(C)N,CCCCCN(C*)*,515,24,47,139,-0.053 ,NO
GPSub_4,*N(C)CC(C)N,CCCCCN(*)*,238,7,34,74,-0.088 ,NO
GPSub_4,*N(C)CC(C)N,*CCCCC(=O)*,175,54,14,105,-0.151 ,NO
GPSub_4,*N(C)CC(C)N,*CCNC(C)*,1187,128,194,605,-0.173 ,NO
