GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_12,CN(*)C(=O)CNCC*,*NC(*)C(=O)NCC(=O)*,996,2,314,628,-0.208 ,NO
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)NC(C*)C(=O)NCC(=O)*,731,52,230,475,-0.173 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)NC(*)C(=O)NCC(=O)*,662,34,190,431,-0.162 ,NO
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)NC(C*)C(=O)NC*,1632,90,456,954,-0.123 ,NO
GPSub_18,CCN1CC(*)C1,CC=C*,265,7,4,12,-0.206 ,NO
GPSub_18,CCN1CC(*)C1,NC(C(=O)N*)c1ccccc1,0,33,0,3,-0.231 ,NO
GPSub_6,CCN(CCN)*,*C(=O)O,126,172,320,379,-0.182 ,YES
GPSub_6,CCN(CCN)*,*CC(=O)O,301,356,270,222,-0.166 ,YES
GPSub_6,CCN(CCN)*,*CC(=O)N,3694,489,745,2771,-0.066 ,NO
GPSub_6,CCN(CCN)*,*N1CCCC1,473,8,31,132,-0.082 ,NO
GPSub_6,CCN(CCN)*,CN(C)CC(=O)*,1365,74,133,572,-0.148 ,YES
GPSub_6,CCN(CCN)*,*C(=O)NC,3838,241,745,2230,-0.065 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NC(C)C,1727,343,252,1258,-0.098 ,NO
GPSub_6,CCN(CCN)*,*C(=O)C(C)NC,2302,410,328,1769,-0.078 ,NO
GPSub_6,CCN(CCN)*,*NC(=O)C(C)NC,3177,231,489,1938,-0.066 ,NO
GPSub_6,CCN(CCN)*,CNC(=O)C*,5660,391,1024,3455,-0.088 ,NO
GPSub_6,CCN(CCN)*,CN(C)C(=O)C*,2091,63,239,977,-0.129 ,YES
GPSub_6,CCN(CCN)*,CN(C)C(=O)*,1487,49,157,588,-0.094 ,YES
GPSub_6,CCN(CCN)*,*C(C)C(=O)N,1643,214,320,1255,-0.084 ,NO
GPSub_6,CCN(CCN)*,*NC(C)C(=O)N,2162,176,376,1461,-0.072 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NC(C)C(=O)N,1321,114,266,1027,-0.097 ,NO
GPSub_6,CCN(CCN)*,*CCNC(C)C,4850,626,445,2191,-0.115 ,NO
GPSub_6,CCN(CCN)*,*CCCNC(C)C,1994,357,299,1173,-0.096 ,NO
GPSub_6,CCN(CCN)*,*NCCO,1713,142,297,662,-0.110 ,YES
GPSub_6,CCN(CCN)*,*NCC(=O)N,2914,213,461,1649,-0.074 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NCC(=O)N,1437,127,284,1121,-0.089 ,NO
GPSub_6,CCN(CCN)*,CCNC(=O)*,5073,542,851,2935,-0.077 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NCCN,2661,143,303,1171,-0.091 ,YES
GPSub_6,CCN(CCN)*,*CCC(=O)*,1703,957,409,1998,-0.070 ,NO
GPSub_6,CCN(CCN)*,CN(*)CC(=O)*,1379,77,134,579,-0.134 ,NO
GPSub_6,CCN(CCN)*,*C(C(=O)NC(C)C)*,1410,275,151,942,-0.129 ,NO
GPSub_6,CCN(CCN)*,*C(=O)C(C)N*,2253,445,341,1809,-0.064 ,NO
GPSub_6,CCN(CCN)*,*NC(=O)C(*)NC,3366,243,477,1974,-0.063 ,NO
GPSub_6,CCN(CCN)*,*CCCCC(=O)*,847,252,91,481,-0.054 ,NO
GPSub_6,CCN(CCN)*,CCN(C*)CCNC(=O)*,1517,14,58,245,-0.125 ,YES
GPSub_6,CCN(CCN)*,CCN(*)CCNC(=O)*,2897,90,255,905,-0.066 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NC(C)C(=O)*,1251,297,196,1206,-0.129 ,NO
GPSub_6,CCN(CCN)*,CC(=O)NC(C*)C(=O)*,1564,337,187,1159,-0.166 ,NO
GPSub_6,CCN(CCN)*,CC(=O)NC(*)C(=O)*,1248,292,158,1106,-0.166 ,NO
GPSub_6,CCN(CCN)*,CC(=O)NC(C*)*,3626,442,641,2400,-0.153 ,NO
GPSub_6,CCN(CCN)*,NC(C(=O)*)*,1591,436,279,1403,-0.070 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NCC(=O)*,1424,322,216,1333,-0.115 ,YES
GPSub_6,CCN(CCN)*,*C(NC)C(C)*,1595,72,286,620,-0.094 ,NO
GPSub_6,CCN(CCN)*,*C(C)C(=O)NC(C)*,1655,188,297,1028,-0.092 ,NO
GPSub_6,CCN(CCN)*,CC(C(=O)NC*)*,3857,252,734,2233,-0.110 ,YES
GPSub_6,CCN(CCN)*,CCN(C*)CC(=O)*,1488,30,47,162,-0.164 ,YES
GPSub_6,CCN(CCN)*,CCN(*)CC(=O)*,2520,127,167,689,-0.144 ,YES
GPSub_6,CCN(CCN)*,*CCN(CC(=O)O)C*,647,32,59,20,-0.252 ,NO
GPSub_6,CCN(CCN)*,*CN(CC*)C(=O)*,3664,72,107,449,-0.113 ,YES
GPSub_6,CCN(CCN)*,*NC(*)C(=O)NCC(=O)*,1611,283,253,1279,-0.181 ,YES
GPSub_6,CCN(CCN)*,*C(=O)NC(C*)C(=O)NCC(=O)*,1328,218,227,980,-0.185 ,YES
